priority,score,table_name,alias_table_name,owner,task_owner,table_rows,data_length,column_count,table_model,primary_key,partition_key,partition_count,tablet_count,task_count,latest_task_code,latest_task_name,latest_task_instance_time,latest_task_influence_num,downstream_count,sql_query_count,sql_last_time,resource_ref_count,collection_count,report_item_count,project_count,persist_object_count,persist_table_refs,unused_days,data_warehouse_layering,asset_class,suggested_rules,evidence
P0,80.47,ud_3418004512502203_dxsthxqb,dwd_销售退货详情表,包彦,陶林强,24816626.0,7244231179.0,102,PRIMARY_KEYS,`__id`,,1,4,1,WsaMDlzNGI,2.dwd_淘宝数据清洗-dwd_销售退货详情表【刷新】,2026-07-09 14:01:12,24816626.0,16.0,196,2026-07-09 14:01:11,1,135,0,11,0,0,0.0,不规范命名,共享数据,表级行数非零；表级行数 7/30 天波动；主键 `__id` 重复检查；退款/售后金额与数量范围；商品编码/名称关键字段空值,被 11 个分析项目使用；有关联产出任务 1 个；任务下游数量 16；SQL 审计命中 196 次；资源关系引用 1 次；存在 owner/任务负责人证据；大表行数约 24816626；存储统计超过 1GB；有分区 1 个；宽表字段数 102
P0,76.0,ods_api_jstqm_sale_order_info_f,ODS_销售订单信息表(聚水潭奇门API),管理员,管理员,23312740.0,41074929985.0,81,PRIMARY_KEYS,`__id`,,1,16,1,9hARYiuSyx,ods_api_jstqm_sale_order_info_f【EtlDevelop任务】,2026-07-09 03:49:21,23312740.0,13.0,9,2026-07-09 03:33:14,1,28,0,27,2,0,0.0,ods,共享数据,表级行数非零；表级行数 7/30 天波动；最新日期字段 send_date 及时；主键 `__id` 重复检查；金额/费用字段非负与异常极值；推广费/投放指标非负与日期完整性；商品编码/名称关键字段空值；店铺标识关键字段空值；原始 API 记录落地完整性,被 27 个分析项目使用；有关联产出任务 1 个；任务下游数量 13；SQL 审计命中 9 次；资源关系引用 1 次；存在 owner/任务负责人证据；大表行数约 23312740；存储统计超过 10GB；有分区 1 个；字段数 81
P0,74.98,ud_3418004512502203_sxsddxxb,std_销售订单信息表,包彦,陶林强,24884809.0,5493592885.0,60,PRIMARY_KEYS,`__id`,,1,4,1,QUMvyo4abs,1.1std_淘宝销售和售后数据清洗-std_销售订单信息表【刷新】,2026-07-09 06:35:41,24884809.0,20.0,98,2026-07-09 06:35:40,1,15,0,14,0,0,0.0,不规范命名,共享数据,表级行数非零；表级行数 7/30 天波动；最新日期字段 send_date 及时；主键 `__id` 重复检查；金额/费用字段非负与异常极值；商品编码/名称关键字段空值；店铺标识关键字段空值,被 14 个分析项目使用；有关联产出任务 1 个；任务下游数量 20；SQL 审计命中 98 次；资源关系引用 1 次；存在 owner/任务负责人证据；大表行数约 24884809；存储统计超过 1GB；有分区 1 个；字段数 60
P0,69.52,ods_api_jstqm_sale_outstock_info_f,ODS_销售出库信息表(聚水潭奇门API),管理员,管理员,28883876.0,24922313489.0,64,PRIMARY_KEYS,`__id`,,1,16,1,kc4AZ1a2R6,ods_api_jstqm_sale_outstock_info_f【EtlDevelop任务】,2026-07-09 01:55:23,28883876.0,6.0,7,2026-07-09 01:44:24,1,10,0,10,0,0,0.0,ods,共享数据,表级行数非零；表级行数 7/30 天波动；最新日期字段 modified 及时；主键 `__id` 重复检查；金额/费用字段非负与异常极值；推广费/投放指标非负与日期完整性；店铺标识关键字段空值；原始 API 记录落地完整性,被 10 个分析项目使用；有关联产出任务 1 个；任务下游数量 6；SQL 审计命中 7 次；资源关系引用 1 次；存在 owner/任务负责人证据；大表行数约 28883876；存储统计超过 10GB；有分区 1 个；字段数 64
P0,67.88,ods_api_tb_trades_sold_increment_info_f,ODS_更新时间交易订单信息表(淘宝API),管理员,管理员,24256422.0,27298660028.0,58,PRIMARY_KEYS,`__id`,,1,2,2,Tq8qplE0Hn,淘宝API【EtlDevelop任务】,2026-07-09 01:25:08,22782231.0,3.0,14,2026-07-09 01:24:46,1,8,0,8,2,0,0.0,ods,共享数据,表级行数非零；表级行数 7/30 天波动；最新日期字段 consign_time 及时；主键 `__id` 重复检查；金额/费用字段非负与异常极值；推广费/投放指标非负与日期完整性；店铺标识关键字段空值；原始 API 记录落地完整性,被 8 个分析项目使用；有关联产出任务 2 个；任务下游数量 3；SQL 审计命中 14 次；资源关系引用 1 次；存在 owner/任务负责人证据；大表行数约 24256422；存储统计超过 10GB；有分区 1 个；字段数 58
P0,66.0,ods_api_jstqm_archive_sale_order_info_du,ODS_销售订单归档信息表(聚水潭奇门API),管理员,管理员,16040926.0,18814564043.0,83,PRIMARY_KEYS,"`dt`, `__id`",`dt`,726,1452,2,tuQPNjntK5,ODS_销售订单归档信息表(聚水潭奇门API)【连接器】【可手动执行】,2026-06-29 09:53:29,0.0,4.0,0,,1,11,0,11,1,0,0.0,ods,共享数据,"表级行数非零；表级行数 7/30 天波动；最新分区 `dt` 非空/及时；主键 `dt`, `__id` 重复检查；金额/费用字段非负与异常极值；推广费/投放指标非负与日期完整性；商品编码/名称关键字段空值；店铺标识关键字段空值；原始 API 记录落地完整性",被 11 个分析项目使用；有关联产出任务 2 个；任务下游数量 4；资源关系引用 1 次；存在 owner/任务负责人证据；大表行数约 16040926；存储统计超过 10GB；分区数 726；字段数 83
P0,66.0,ods_api_jstqm_sale_order_info_du,ODS_销售订单信息表(聚水潭奇门API),管理员,管理员,25408030.0,38509966743.0,83,PRIMARY_KEYS,"`dt`, `__id`",`dt`,891,1782,2,MvuyryYfyY,ODS_销售订单信息表(聚水潭奇门API)【连接器】（更新时间取数-可以补数据）,2026-07-09 03:33:14,196247.0,4.0,0,,1,26,0,26,2,0,0.0,ods,共享数据,"表级行数非零；表级行数 7/30 天波动；最新分区 `dt` 非空/及时；主键 `dt`, `__id` 重复检查；金额/费用字段非负与异常极值；推广费/投放指标非负与日期完整性；商品编码/名称关键字段空值；店铺标识关键字段空值；原始 API 记录落地完整性",被 26 个分析项目使用；有关联产出任务 2 个；任务下游数量 4；资源关系引用 1 次；存在 owner/任务负责人证据；大表行数约 25408030；存储统计超过 10GB；分区数 891；字段数 83
P0,60.98,ud_3418004512502203_n1stmxssjqx,1.std天猫销售数据清洗,包彦,陶林强,18546233.0,28508738946.0,64,PRIMARY_KEYS,`__id`,,1,4,1,m8uQQoHiS6,1.STD天猫后台销售数据清洗-1.std天猫销售数据清洗【刷新】,2026-07-09 01:39:23,18546233.0,1.0,98,2026-07-09 01:39:22,1,1,0,1,0,0,0.0,不规范命名,共享数据,表级行数非零；表级行数 7/30 天波动；最新日期字段 pay_time 及时；主键 `__id` 重复检查；金额/费用字段非负与异常极值；推广费/投放指标非负与日期完整性；商品编码/名称关键字段空值；店铺标识关键字段空值；原始 API 记录落地完整性,被 1 个分析项目使用；有关联产出任务 1 个；任务下游数量 1；SQL 审计命中 98 次；资源关系引用 1 次；存在 owner/任务负责人证据；大表行数约 18546233；存储统计超过 10GB；有分区 1 个；字段数 64
P0,60.94,dwd_data_government_meta_sql_related_resource,数据治理元数据_SQL关联资源表,管理员,管理员,3013625.0,2353865464.0,63,PRIMARY_KEYS,"`calculated_date`, `__id`",`calculated_date`,8,16,1,kcOMWQt1IF,魔方数据治理（勿动）_数据治理元数据_SQL关联资源【EtlDevelop任务】,2026-07-09 14:02:19,3668399.0,18.0,153,2026-07-09 14:02:06,1,13,0,0,0,0,49.0,dwd,共享数据,"表级行数非零；表级行数 7/30 天波动；最新分区 `calculated_date` 非空/及时；主键 `calculated_date`, `__id` 重复检查；金额/费用字段非负与异常极值",有关联产出任务 1 个；任务下游数量 18；SQL 审计命中 153 次；资源关系引用 1 次；存在 owner/任务负责人证据；百万级表行数约 3013625；存储统计超过 1GB；有分区 8 个；字段数 63
P0,60.3,ud_3418004512502203_spbmxssjllsj,商品编码销售数据、流量数据、推广数据,包彦,陶林强,618104.0,232870697.0,132,PRIMARY_KEYS,`__id`,,1,4,1,tCQHRUr2lz,3.dws_天猫销售经营综合数据清洗-商品编码销售数据、流量数据、推广数据【刷新】,2026-07-09 14:07:41,618104.0,57.0,288,2026-07-09 14:07:39,1,41,0,12,0,0,0.0,不规范命名,共享数据,表级行数非零；表级行数 7/30 天波动；主键 `__id` 重复检查；推广费/投放指标非负与日期完整性；商品编码/名称关键字段空值,被 12 个分析项目使用；有关联产出任务 1 个；任务下游数量 57；SQL 审计命中 288 次；资源关系引用 1 次；存在 owner/任务负责人证据；有分区 1 个；宽表字段数 132
